,Course #,Course name,Instructor,OER ,Enrollment,Cost Savings ($),Department
0,ECON:1100:0AAA,Principles of Microeconomics ,Stong,Principles of Microeconomics (OpenStax) ,382,44671.08,Economics
1,ECON:1100:0BBB,Principles of Microeconomics ,Stong,Principles of Microeconomics (OpenStax) ,321,37537.74,Economics
2,ECON:1100:0100,Principles of Microeconomics ,Denismore,Principles of Microeconomics (OpenStax) ,40,4677.6,Economics
3,RCE:2081:0EXU,Making a Vocational-Educational Choice,Rechkemmer,Career Center Guide AND Career Exploration Handbook from the UCS/Advising Center,39,4560.66,Department of Counselor Education
4,RCE:2081:0EXV,Making a Vocational-Educational Choice,Rechkemmer,Career Center Guide AND Career Exploration Handbook from the UCS/Advising Center,36,4209.84,Department of Counselor Education
5,EDTL:3166,Elementary Science Methods II,Neal,Elementary Earth and Space Science Methods,67,7834.98,Education
6,CS:4310:0001,Design and Implementation of Algorithms,Kasturi Varadarajan,Algorithms by Jeff Erickson ,18,2104.92,Computer Science
7,GEOG:2013:0001,Introduction to Sustainability,David Bennett,"Sustainability: A Comprehensive Foundation 2018; Theis, T. and Tomkin, J. Editors. ",61,7133.34,Geographical and Sustainablilty Sciences
8,PHYS:1512:000A,"College Physics II
Subtitle: Electricity, Light, and Modern Physics",Ugur Akgun,OpenStax College Physics,256,29936.64,Physics and Astronomy
9,SPAN:1502:0001,Intermediate Spanish II for Educational Professionals,Giovanni Zimotti,"Salón de clase, Intermediate Spanish for Education Professionals",15,1754.1,Spanish and Portuguese
10,ITAL:1102:0001,Elementary Italian II,Claudia Sartini-Rideout ,Lottini OER forthcoming,19,2221.86,French and Italian
11,ITAL:1102:0002,Elementary Italian II,Claudia Sartini-Rideout ,Lottini OER forthcoming,18,2104.92,French and Italian
12,ITAL:1102:0003,Elementary Italian II,Katja Liimatta,Lottini OER forthcoming,15,1754.1,French and Italian
13,ITAL:1102:0004,Elementary Italian II,Katja Liimatta,Lottini OER forthcoming,10,1169.4,French and Italian
