,Course #,Course name,Instructor,OER ,Enrollment,Cost Savings ($),Department
0,RCE:2081:0EXU,Making a Vocational-Educational Choice,Rechkemmer,Career Center Guide AND Career Exploration Handbook from the UCS/Advising Center,38,4443.72,Department of Counselor Education
1,RCE:2081:0EXV,Making a Vocational-Educational Choice,Rechkemmer,Career Center Guide AND Career Exploration Handbook from the UCS/Advising Center,40,4677.6,Department of Counselor Education
2,EDTL:3166,Elementary Science Methods II,Neal,Elementary Earth and Space Science Methods,79,9238.26,Education
3,MED:8121:0600,Clinical and Professional Skills I,Pizzimenti,Online Cardiovascular Physical Examination Skills Module with Integrated Basic Science Review,152,17774.88,Carver College of Medicine
4,MED:8121:0700,Clinical and Professional Skills I,Pizzimenti,Online Cardiovascular Physical Examination Skills Module with Integrated Basic Science Review,24,2806.56,Carver College of Medicine
5,COMM:1305:0AAA,Understanding Comm: Social Scientific,Magsamen-Conrad,Introduction to Social Scientific Communication Research Methods,215,25142.1,Communication
6,GEOG:2013:0001,Introduction to Sustainability,David Bennett,"Sustainability: A Comprehensive Foundation 2018; Theis, T. and Tomkin, J. Editors. ",54,6314.76,Geographical and Sustainablilty Sciences
7,PHYS:1512:000A,"College Physics II
Subtitle: Electricity, Light, and Modern Physics",Ugur Akgun,OpenStax College Physics,119,13915.86,Physics and Astronomy
8,ECON:3100:0001,Intermediate Microeconomics,Jeffrey Desimone,Intermediate Microeconomics by Patrick M. Emerson,32,3742.08,Economics
9,ECON:3100:0002,Intermediate Microeconomics,Jeffrey Desimone,Intermediate Microeconomics by Patrick M. Emerson,39,4560.66,Economics
10,CS:5800:0001,Fundamentals of Software Engineering,Raman Aravamudhan,Guide to the Software Engineering Body of Knowledge (SWEBOK),25,2923.5,Computer Science
11,SPAN:1505:0001,Int Spanish for Heritage Speaker,Julia Oliver Rajan,"Mi idioma, mi comunidad by Elena Foulis and Stacey Alex
",12,1403.28,Spanish and Portuguese
12,EDTL 4753,Science Mthds III: High Sch & Field Exp,Jeffrey Nordine,Elementary Earth and Space Science Methods,20,2338.8,Education
13,BIOS 4120,Introduction to Biostatistics,Knute Carter,"Ward and Nolte's OER, forthcoming",81,9472.14,Biostatistics
14,CSD 3116,Basic Neuroscience for Speech & Hearing,Steward McCauley,"McCauley OER, forthcoming
",82,9589.08,Communication Sciences and Disorders
15,ITAL:1101:0001,Elementary Italian I,Sartini-Rideout,"Lottini OER, forthcoming",17,1987.98,French and Italian
16,ITAL:1101:0002,Elementary Italian I,Sartini-Rideout,"Lottini OER, forthcoming",19,2221.86,French and Italian
17,ITAL:1101:0003,Elementary Italian I,Sartini-Rideout,"Lottini OER, forthcoming",19,2221.86,French and Italian
18,ITAL:1101:0004,Elementary Italian I,Sartini-Rideout,"Lottini OER, forthcoming",14,1637.1599999999999,French and Italian
19,ITAL:1101:0005,Elementary Italian I,Sartini-Rideout,"Lottini OER, forthcoming",13,1520.22,French and Italian
20,ITAL:3002:0EXW,Intensive Elementary Italian,Katja Liimatta ,"Lottini OER, forthcoming",6,701.64,French and Italian
21,NURS 3731,Healthier Living for Well-Being,Emily Griffin,"Griffin OER, forthcoming",13,1520.22,College of Nursing
22,PSY 5330,Principles of Psychological Assessment,Isaac Petersen,"Petersen OER, forthcoming",15,1754.1,Psychological and Brain Sciences
23,MGMT 2000,Introduction to Law,Andrew Hosmanek,"Hosmanek OER, forthcoming",283,33094.02,Management and Entrepreneurship
24,ITAL:2203:0001,Intermediate Italian I,Lucia Gemmani,"Gemmani OER, forthcoming",13,1520.22,French and Italian
25,ITAL:2203:0002,Intermediate Italian I,Lucia Gemmani,"Gemmani OER, forthcoming",11,1286.34,French and Italian
26,ITAL:2203:0003,Intermediate Italian I,Lucia Gemmani,"Gemmani OER, forthcoming",10,1169.4,French and Italian
27,PCOL 3101,Pharmacology I: Drug's Fantastic Journey,Katelin Dannen,"Dannen OER, forthcoming",18,2104.92,Neuroscience and Pharamcology
28,PHAR 8252,IP: Musculoskeletal,James Ray,"Lockman OER, forthcoming",102,11927.88,College of Pharmacy
29,RCE:4137:0EXU,Intro to Educating Gifted Students,Kimberley Chandler,"Croft OER, forthcoming",13,1520.22,Department of Counselor Education
30,RCE:4137:0EXW,Intro to Educating Gifted Students,Kimberley Chandler,"Croft OER, forthcoming",17,1987.98,Department of Counselor Education
31,EDTL:4096:0WKB,Topics in Teaching and Learning,Laurie Croft,"Croft OER, forthcoming",11,1286.34,Education
